spurs-goodsn-2004 z7_GNW_17001  9214 189.0324636 62.2164232 6.8400 -21.00       nan     nan grating
JADES-1075                      1181 189.2026020 62.2755130 6.9080 -19.84     24.10    3.70 rating
GN-1211-4629                    1211 189.3530366 62.2634053 6.9243 -21.15     16.32   -1.00 prism
spurs-goodsn-85   GN-13828      9214 189.0449997 62.2539380 6.9330 -19.30     17.70    3.75 grating
GN-1211-1408                    1211 189.2649468 62.2657862 6.9376 -20.48     27.50   -1.00 prism
DIVER-1012585                   8018 189.2224000 62.2666240 6.9540 -18.39     58.34   36.19 prism
DIVER-1014713                   8018 189.2132621 62.2744011 6.9572 -18.97    207.06   -1.00 prism
GN-4762-15284                   4762 189.0880984 62.1698788 6.9734 -19.43     37.67   -1.00 grating
JADES-1254                      1181 189.1862850 62.2253960 6.9900 -18.62     44.00   -1.00 rating
DIVER-1010572                   8018 189.1618700 62.2584080 6.9919 -19.20       nan     nan prism
JADES-1893                      1181 189.2052960 62.2507760 6.9940 -20.40     30.00   -1.00 rating
DIVER-1008270                   8018 189.1997000 62.2498250 6.9950 -19.57     79.47   -1.00 prism
JADES-7424                      1181 189.2329040 62.2473760 6.9960 -19.01     27.00   -1.00 rating
JADES-2316                      1181 189.1625350 62.2582380 6.9980 -19.36     19.00   -1.00 rating
JADES-GN-5088                   1181 189.1725230 62.2405400 7.0010 -18.42    231.16   82.81 prism
JADES-GN-2316                   1181 189.1625330 62.2582450 7.0030 -19.98     49.00   -1.00 grating
DIVER-1007034                   8018 189.2612300 62.2462350 7.0083 -19.12     72.38   -1.00 prism
DIVER-1020338                   8018 189.1349898 62.2918935 7.0150 -19.41       nan     nan prism
DIVER-1081143                   8018 189.1949101 62.2170033 7.0179 -19.07     25.21   -1.00 prism
DIVER-1018899                   8018 189.1627889 62.2875508 7.0187 -13.35     41.24   -1.00 prism
DIVER-1018968                   8018 189.1833588 62.2877222 7.0225 -19.84       nan     nan prism
JADES-GN-1166                   1181 189.1833590 62.2877220 7.0310 -20.04     11.00   -1.00 grating
spurs-goodsn-48   GO4762-45514  9214 189.0736785 62.2234609 7.0360 -20.20      2.56   -1.00 grating
spurs-goodsn-6458 GN-17537      9214 189.0192404 62.2435367 7.0373 -20.10     24.90    1.20 grating
GN-4762-45789                   4762 189.0708993 62.2242367 7.0374 -17.82     41.60   -1.00 grating
JADES-GN-1931                   1181 189.0696410 62.2810190 7.0380 -20.14     11.00   -1.00 grating
AURORA-100159                   1914 189.1376036 62.2651993 7.0389 -19.43      5.11   -1.00 grating
DIVER-1034762                   8018 189.1983403 62.2970149 7.0405 -19.42       nan     nan prism
GN-1181-2389                    1181 189.1983403 62.2970149 7.0416 -19.49     15.90   -1.00 grating
GN-4762-44954                   4762 189.1384911 62.2227708 7.0624 -16.32     51.35   -1.00 grating
GN-1211-4955                    1211 189.2439269 62.3121100 7.0765 -19.62     50.29   -1.00 prism
GN-1211-59                      1211 189.3285058 62.3018875 7.0775 -18.28    409.69   -1.00 prism
JADES-GN-40307                  1181 189.0429400 62.2514960 7.0780 -19.59    175.00   -1.00 prism
spurs-goodsn-177  SPURS-GN-177  9214 189.0429012 62.2515166 7.0808 -19.30     65.40    4.30 grating
spurs-goodsn-193  JADES-7675    9214 189.0962979 62.2479796 7.0884 -18.30     17.20    2.70 grating
JADES-GN-13041                  1181 189.2037730 62.2684270 7.0900 -19.46    134.00   13.00 grating
JADES-GN-1936                   1181 189.1957070 62.2824240 7.0900 -19.50     36.00   -1.00 grating
JADES-GN-1129                   1181 189.1797530 62.2823870 7.0980 -19.81     70.00    9.00 grating
GN-1211-1576                    1211 189.4081122 62.3396602 7.1067 -20.13     20.00   -1.00 prism
GN-1211-3066                    1211 189.2491384 62.2990017 7.1324 -19.88     38.59   -1.00 prism
spurs-goodsn-40   JADES-4530    9214 189.1090992 62.2386679 7.1344 -18.90     48.40    2.05 grating
JADES-GN-3982                   1181 189.1094130 62.2388020 7.1390 -19.78     33.00   -1.00 grating
JADES-GN-49599                  1181 189.2175310 62.1827540 7.1400 -19.33     57.00   -1.00 prism
JADES-GN-66585                  1181 189.2588900 62.2374460 7.1400 -19.35     93.00   -1.00 prism
GN-4762-45417                   4762 189.1365463 62.2233065 7.1404 -21.66      6.07   -1.00 grating
JADES-GN-24819                  1181 189.1364740 62.2234030 7.1420 -22.10      8.00   -1.00 grating
JADES-GN-47468                  1181 189.1979780 62.1770170 7.1460 -19.02     23.00   -1.00 grating
JADES-GN-66336                  1181 189.2592940 62.2354610 7.1480 -19.42     10.00   -1.00 grating
JADES-GN-67006                  1181 189.2498230 62.2412210 7.1550 -20.66     35.00   -1.00 prism
GN-4762-33650                   4762 189.0808285 62.2030062 7.1883 -19.11  10501.37   -1.00 grating
GN-4762-35945                   4762 189.0745987 62.2067362 7.1883 -20.86      7.40   -1.00 grating
GN-4762-33609                   4762  89.0834882  2.2025789 0.1883  20.29     10.61   -1.00 rating
spurs-goodsn-18   GNz7q         9214 189.0706536 62.2089541 7.1890 -22.04      0.40   -1.00 grating
GN-4762-34469                   4762 189.0774624 62.2046384 7.1894 -18.91       nan   -1.00 grating
spurs-goodsn-38   GO4762-44653B 9214 189.0840544 62.2220434 7.1940 -20.90       nan     nan grating
spurs-goodsn-17   SPURS-GN-17   9214 189.0841505 62.2220240 7.2023 -21.00      7.90    0.70 grating
AURORA-100026                   1914 189.2251279 62.2862856 7.2062 -19.94     20.50    1.00 grating
JADES-GN-27058                  1181 189.1247430 62.2685680 7.2400 -19.47     17.00   -1.00 grating
DIVER-1006836                   8018 189.1788516 62.2457286 7.2640 -19.33     78.00   -1.00 prism
GN-4762-18601                   4762 189.0572516 62.1762089 7.2662 -11.69       nan     nan grating
DIVER-1027598                   8018 189.1784867 62.2478343 7.2670 -18.78    292.39   -1.00 prism
JADES-GN-39544                  1181 189.3030540 62.1537420 7.2720 -19.53     23.00   -1.00 grating
GN-4762-35208                   4762 189.1590839 62.2057560 7.3072 -21.01     10.45   -1.00 grating
GN-1181-4685                    1181 189.0962931 62.2391438 7.4131 -17.74     28.25   -1.00 grating
